Country Name,Country Code,Time,Time Code,Indice GINI
Allemagne,DEU,2004,YR2004,30.4
Allemagne,DEU,2005,YR2005,32.1
Allemagne,DEU,2006,YR2006,31.3
Allemagne,DEU,2007,YR2007,31.3
Allemagne,DEU,2008,YR2008,31.1
Allemagne,DEU,2009,YR2009,30.5
Allemagne,DEU,2010,YR2010,30.2
Allemagne,DEU,2011,YR2011,30.5
États-Unis,USA,2004,YR2004,40.3
États-Unis,USA,2005,YR2005,41
États-Unis,USA,2006,YR2006,41.4
États-Unis,USA,2007,YR2007,40.8
États-Unis,USA,2008,YR2008,40.8
États-Unis,USA,2009,YR2009,40.6
États-Unis,USA,2010,YR2010,40
États-Unis,USA,2011,YR2011,40.9
Norvège,NOR,2004,YR2004,31.6
Norvège,NOR,2005,YR2005,30.6
Norvège,NOR,2006,YR2006,26.4
Norvège,NOR,2007,YR2007,27.1
Norvège,NOR,2008,YR2008,27
Norvège,NOR,2009,YR2009,26.2
Norvège,NOR,2010,YR2010,25.7
Norvège,NOR,2011,YR2011,25.3
Luxembourg,LUX,2004,YR2004,30.2
Luxembourg,LUX,2005,YR2005,30.8
Luxembourg,LUX,2006,YR2006,30.9
Luxembourg,LUX,2007,YR2007,31.1
Luxembourg,LUX,2008,YR2008,32.6
Luxembourg,LUX,2009,YR2009,31.2
Luxembourg,LUX,2010,YR2010,30.5
Luxembourg,LUX,2011,YR2011,32.1
Royaume-Uni,GBR,2004,YR2004,36
Royaume-Uni,GBR,2005,YR2005,34.3
Royaume-Uni,GBR,2006,YR2006,34.6
Royaume-Uni,GBR,2007,YR2007,35.7
Royaume-Uni,GBR,2008,YR2008,34.1
Royaume-Uni,GBR,2009,YR2009,34.3
Royaume-Uni,GBR,2010,YR2010,34.4
Royaume-Uni,GBR,2011,YR2011,33.2
Portugal,PRT,2004,YR2004,38.9
Portugal,PRT,2005,YR2005,38.5
Portugal,PRT,2006,YR2006,38.1
Portugal,PRT,2007,YR2007,36.8
Portugal,PRT,2008,YR2008,36.6
Portugal,PRT,2009,YR2009,34.9
Portugal,PRT,2010,YR2010,35.8
Portugal,PRT,2011,YR2011,36.3
Fédération de Russie,RUS,2004,YR2004,40.3
Fédération de Russie,RUS,2005,YR2005,41.3
Fédération de Russie,RUS,2006,YR2006,41
Fédération de Russie,RUS,2007,YR2007,42.3
Fédération de Russie,RUS,2008,YR2008,41.6
Fédération de Russie,RUS,2009,YR2009,39.8
Fédération de Russie,RUS,2010,YR2010,39.5
Fédération de Russie,RUS,2011,YR2011,39.7
Thaïlande,THA,2004,YR2004,42.5
Thaïlande,THA,2005,YR2005,NaN
Thaïlande,THA,2006,YR2006,41.8
Thaïlande,THA,2007,YR2007,39.8
Thaïlande,THA,2008,YR2008,40.3
Thaïlande,THA,2009,YR2009,39.6
Thaïlande,THA,2010,YR2010,39.4
Thaïlande,THA,2011,YR2011,37.5
Paraguay,PRY,2004,YR2004,52.3
Paraguay,PRY,2005,YR2005,51.4
Paraguay,PRY,2006,YR2006,53
Paraguay,PRY,2007,YR2007,53
Paraguay,PRY,2008,YR2008,50.7
Paraguay,PRY,2009,YR2009,49.1
Paraguay,PRY,2010,YR2010,51
Paraguay,PRY,2011,YR2011,52.3
Géorgie,GEO,2004,YR2004,36.2
Géorgie,GEO,2005,YR2005,37.4
Géorgie,GEO,2006,YR2006,36.9
Géorgie,GEO,2007,YR2007,38.1
Géorgie,GEO,2008,YR2008,38.5
Géorgie,GEO,2009,YR2009,38.2
Géorgie,GEO,2010,YR2010,39.5
Géorgie,GEO,2011,YR2011,39.6
