Country Name,Country Code,Time,Time Code,"Population"
Afghanistan,AFG,2004,YR2004,24726689
Afghanistan,AFG,2006,YR2006,26433058
Afghanistan,AFG,2007,YR2007,27100542
Afghanistan,AFG,2008,YR2008,27722281
Afghanistan,AFG,2009,YR2009,28394806
Afghanistan,AFG,2010,YR2010,29185511
Afghanistan,AFG,2011,YR2011,30117411
Albanie,ALB,2004,YR2004,3026939
Albanie,ALB,2006,YR2006,2992547
Albanie,ALB,2007,YR2007,2970017
Albanie,ALB,2008,YR2008,2947314
Albanie,ALB,2009,YR2009,2927519
Albanie,ALB,2010,YR2010,2913021
Albanie,ALB,2011,YR2011,2905195
Algérie,DZA,2004,YR2004,32692153
Algérie,DZA,2006,YR2006,33641007
Algérie,DZA,2007,YR2007,34166976
Algérie,DZA,2008,YR2008,34730604
Algérie,DZA,2009,YR2009,35333882
Algérie,DZA,2010,YR2010,35977451
Algérie,DZA,2011,YR2011,36661438
Samoa américaines,ASM,2004,YR2004,59684
Samoa américaines,ASM,2006,YR2006,59109
Samoa américaines,ASM,2007,YR2007,58367
Samoa américaines,ASM,2008,YR2008,57490
Samoa américaines,ASM,2009,YR2009,56675
Samoa américaines,ASM,2010,YR2010,56084
Samoa américaines,ASM,2011,YR2011,55755
Andorre,AND,2004,YR2004,76250
Andorre,AND,2006,YR2006,80995
Andorre,AND,2007,YR2007,82682
Andorre,AND,2008,YR2008,83860
Andorre,AND,2009,YR2009,84461
Andorre,AND,2010,YR2010,84454
Andorre,AND,2011,YR2011,83748
Angola,AGO,2004,YR2004,18758138
Angola,AGO,2006,YR2006,20149905
Angola,AGO,2007,YR2007,20905360
Angola,AGO,2008,YR2008,21695636
Angola,AGO,2009,YR2009,22514275
Angola,AGO,2010,YR2010,23356247
Angola,AGO,2011,YR2011,24220660
Antigua-et-Barbuda,ATG,2004,YR2004,80347
Antigua-et-Barbuda,ATG,2006,YR2006,82715
Antigua-et-Barbuda,ATG,2007,YR2007,84029
Antigua-et-Barbuda,ATG,2008,YR2008,85394
Antigua-et-Barbuda,ATG,2009,YR2009,86743
Antigua-et-Barbuda,ATG,2010,YR2010,88030
Antigua-et-Barbuda,ATG,2011,YR2011,89250
Argentine,ARG,2004,YR2004,38491970
Argentine,ARG,2006,YR2006,39289876
Argentine,ARG,2007,YR2007,39684303
Argentine,ARG,2008,YR2008,40080159
Argentine,ARG,2009,YR2009,40482786
Argentine,ARG,2010,YR2010,40788453
Argentine,ARG,2011,YR2011,41261490
Arménie,ARM,2004,YR2004,3000715
Arménie,ARM,2006,YR2006,2958301
Arménie,ARM,2007,YR2007,2932615
Arménie,ARM,2008,YR2008,2907615
Arménie,ARM,2009,YR2009,2888094
Arménie,ARM,2010,YR2010,2877314
Arménie,ARM,2011,YR2011,2876536
Aruba,ABW,2004,YR2004,98744
Aruba,ABW,2006,YR2006,100830
Aruba,ABW,2007,YR2007,101226
Aruba,ABW,2008,YR2008,101362
Aruba,ABW,2009,YR2009,101452
Aruba,ABW,2010,YR2010,101665
Aruba,ABW,2011,YR2011,102050
Australie,AUS,2004,YR2004,20127400
Australie,AUS,2006,YR2006,20697900
Australie,AUS,2007,YR2007,20827600
Australie,AUS,2008,YR2008,21249200
Australie,AUS,2009,YR2009,21691700
Australie,AUS,2010,YR2010,22031750
Australie,AUS,2011,YR2011,22340024
Autriche,AUT,2004,YR2004,8171966
Autriche,AUT,2006,YR2006,8268641
Autriche,AUT,2007,YR2007,8295487
Autriche,AUT,2008,YR2008,8321496
Autriche,AUT,2009,YR2009,8343323
Autriche,AUT,2010,YR2010,8363404
Autriche,AUT,2011,YR2011,8391643
Azerbaïdjan,AZE,2004,YR2004,8306500
Azerbaïdjan,AZE,2006,YR2006,8484550
Azerbaïdjan,AZE,2007,YR2007,8581300
Azerbaïdjan,AZE,2008,YR2008,8763400
Azerbaïdjan,AZE,2009,YR2009,8947243
Azerbaïdjan,AZE,2010,YR2010,9054332
Azerbaïdjan,AZE,2011,YR2011,9173082
Bahamas,BHS,2004,YR2004,318893
Bahamas,BHS,2006,YR2006,331032
Bahamas,BHS,2007,YR2007,337387
Bahamas,BHS,2008,YR2008,343680
Bahamas,BHS,2009,YR2009,349600
Bahamas,BHS,2010,YR2010,354936
Bahamas,BHS,2011,YR2011,359583
Bahreïn,BHR,2004,YR2004,829846
Bahreïn,BHR,2006,YR2006,958423
Bahreïn,BHR,2007,YR2007,1035924
Bahreïn,BHR,2008,YR2008,1114645
Bahreïn,BHR,2009,YR2009,1185075
Bahreïn,BHR,2010,YR2010,1240864
Bahreïn,BHR,2011,YR2011,1278153
Bangladesh,BGD,2004,YR2004,136986429
Bangladesh,BGD,2006,YR2006,140921154
Bangladesh,BGD,2007,YR2007,142660381
Bangladesh,BGD,2008,YR2008,144304164
Bangladesh,BGD,2009,YR2009,145924795
Bangladesh,BGD,2010,YR2010,147575433
Bangladesh,BGD,2011,YR2011,149273134
Barbade,BRB,2004,YR2004,275283
Barbade,BRB,2006,YR2006,277475
Barbade,BRB,2007,YR2007,278701
Barbade,BRB,2008,YR2008,279946
Barbade,BRB,2009,YR2009,281107
Barbade,BRB,2010,YR2010,282131
Barbade,BRB,2011,YR2011,282987
Bélarus,BLR,2004,YR2004,9730146
Bélarus,BLR,2006,YR2006,9604924
Bélarus,BLR,2007,YR2007,9560953
Bélarus,BLR,2008,YR2008,9527985
Bélarus,BLR,2009,YR2009,9504583
Bélarus,BLR,2010,YR2010,9483836
Bélarus,BLR,2011,YR2011,9461643
Belgique,BEL,2004,YR2004,10421137
Belgique,BEL,2006,YR2006,10547958
Belgique,BEL,2007,YR2007,10625700
Belgique,BEL,2008,YR2008,10709973
Belgique,BEL,2009,YR2009,10796493
Belgique,BEL,2010,YR2010,10895586
Belgique,BEL,2011,YR2011,11038264
Belize,BLZ,2004,YR2004,276516
Belize,BLZ,2006,YR2006,291338
Belize,BLZ,2007,YR2007,299031
Belize,BLZ,2008,YR2008,306822
Belize,BLZ,2009,YR2009,314655
Belize,BLZ,2010,YR2010,322465
Belize,BLZ,2011,YR2011,330236
Bénin,BEN,2004,YR2004,7750003
Bénin,BEN,2006,YR2006,8216893
Bénin,BEN,2007,YR2007,8454790
Bénin,BEN,2008,YR2008,8696915
Bénin,BEN,2009,YR2009,8944713
Bénin,BEN,2010,YR2010,9199254
Bénin,BEN,2011,YR2011,9460829
Bermudes,BMU,2004,YR2004,63740
Bermudes,BMU,2006,YR2006,64523
Bermudes,BMU,2007,YR2007,64888
Bermudes,BMU,2008,YR2008,65273
Bermudes,BMU,2009,YR2009,65636
Bermudes,BMU,2010,YR2010,65124
Bermudes,BMU,2011,YR2011,64564
Bhoutan,BTN,2004,YR2004,638809
Bhoutan,BTN,2006,YR2006,657404
Bhoutan,BTN,2007,YR2007,664873
Bhoutan,BTN,2008,YR2008,671611
Bhoutan,BTN,2009,YR2009,678329
Bhoutan,BTN,2010,YR2010,685502
Bhoutan,BTN,2011,YR2011,693297
Bolivie,BOL,2004,YR2004,9069044
Bolivie,BOL,2006,YR2006,9395449
Bolivie,BOL,2007,YR2007,9558438
Bolivie,BOL,2008,YR2008,9721457
Bolivie,BOL,2009,YR2009,9884790
Bolivie,BOL,2010,YR2010,10048597
Bolivie,BOL,2011,YR2011,10212951
Bosnie-Herzégovine,BIH,2004,YR2004,3764194
Bosnie-Herzégovine,BIH,2006,YR2006,3765422
Bosnie-Herzégovine,BIH,2007,YR2007,3762791
Bosnie-Herzégovine,BIH,2008,YR2008,3754261
Bosnie-Herzégovine,BIH,2009,YR2009,3735945
Bosnie-Herzégovine,BIH,2010,YR2010,3705478
Bosnie-Herzégovine,BIH,2011,YR2011,3661173
Botswana,BWA,2004,YR2004,1765533
Botswana,BWA,2006,YR2006,1835911
Botswana,BWA,2007,YR2007,1875458
Botswana,BWA,2008,YR2008,1915636
Botswana,BWA,2009,YR2009,1953495
Botswana,BWA,2010,YR2010,1987106
Botswana,BWA,2011,YR2011,2015406
Brésil,BRA,2004,YR2004,184006479
Brésil,BRA,2006,YR2006,188167353
Brésil,BRA,2007,YR2007,190130445
Brésil,BRA,2008,YR2008,192030362
Brésil,BRA,2009,YR2009,193886505
Brésil,BRA,2010,YR2010,195713637
Brésil,BRA,2011,YR2011,197514541
Îles Vierges britanniques,VGB,2004,YR2004,22329
Îles Vierges britanniques,VGB,2006,YR2006,24022
Îles Vierges britanniques,VGB,2007,YR2007,25050
Îles Vierges britanniques,VGB,2008,YR2008,26096
Îles Vierges britanniques,VGB,2009,YR2009,27035
Îles Vierges britanniques,VGB,2010,YR2010,27796
Îles Vierges britanniques,VGB,2011,YR2011,28326
Brunéi Darussalam,BRN,2004,YR2004,359434
Brunéi Darussalam,BRN,2006,YR2006,370262
Brunéi Darussalam,BRN,2007,YR2007,374967
Brunéi Darussalam,BRN,2008,YR2008,379418
Brunéi Darussalam,BRN,2009,YR2009,383902
Brunéi Darussalam,BRN,2010,YR2010,388634
Brunéi Darussalam,BRN,2011,YR2011,393687
Bulgarie,BGR,2004,YR2004,7716860
Bulgarie,BGR,2006,YR2006,7601022
Bulgarie,BGR,2007,YR2007,7545338
Bulgarie,BGR,2008,YR2008,7492561
Bulgarie,BGR,2009,YR2009,7444443
Bulgarie,BGR,2010,YR2010,7395599
Bulgarie,BGR,2011,YR2011,7348328
Burkina Faso,BFA,2004,YR2004,13030576
Burkina Faso,BFA,2006,YR2006,13829173
Burkina Faso,BFA,2007,YR2007,14252029
Burkina Faso,BFA,2008,YR2008,14689725
Burkina Faso,BFA,2009,YR2009,15141098
Burkina Faso,BFA,2010,YR2010,15605211
Burkina Faso,BFA,2011,YR2011,16081915
Burundi,BDI,2004,YR2004,7131688
Burundi,BDI,2006,YR2006,7607850
Burundi,BDI,2007,YR2007,7862226
Burundi,BDI,2008,YR2008,8126104
Burundi,BDI,2009,YR2009,8397661
Burundi,BDI,2010,YR2010,8675606
Burundi,BDI,2011,YR2011,8958406
Cabo Verde,CPV,2004,YR2004,456619
Cabo Verde,CPV,2006,YR2006,469171
Cabo Verde,CPV,2007,YR2007,475067
Cabo Verde,CPV,2008,YR2008,480846
Cabo Verde,CPV,2009,YR2009,486667
Cabo Verde,CPV,2010,YR2010,492644
Cabo Verde,CPV,2011,YR2011,498858
Cambodge,KHM,2004,YR2004,13066475
Cambodge,KHM,2006,YR2006,13477705
Cambodge,KHM,2007,YR2007,13679953
Cambodge,KHM,2008,YR2008,13883835
Cambodge,KHM,2009,YR2009,14093605
Cambodge,KHM,2010,YR2010,14312205
Cambodge,KHM,2011,YR2011,14541421
Cameroun,CMR,2004,YR2004,17259322
Cameroun,CMR,2006,YR2006,18223677
Cameroun,CMR,2007,YR2007,18730283
Cameroun,CMR,2008,YR2008,19252674
Cameroun,CMR,2009,YR2009,19789922
Cameroun,CMR,2010,YR2010,20341236
Cameroun,CMR,2011,YR2011,20906392
Canada,CAN,2004,YR2004,31940655
Canada,CAN,2006,YR2006,32571174
Canada,CAN,2007,YR2007,32889025
Canada,CAN,2008,YR2008,33247118
Canada,CAN,2009,YR2009,33628895
Canada,CAN,2010,YR2010,34004889
Canada,CAN,2011,YR2011,34339328
Îles Caïmans,CYM,2004,YR2004,47899
Îles Caïmans,CYM,2006,YR2006,50729
Îles Caïmans,CYM,2007,YR2007,52280
Îles Caïmans,CYM,2008,YR2008,53835
Îles Caïmans,CYM,2009,YR2009,55321
Îles Caïmans,CYM,2010,YR2010,56672
Îles Caïmans,CYM,2011,YR2011,57877
République centrafricaine,CAF,2004,YR2004,3959883
République centrafricaine,CAF,2006,YR2006,4118075
République centrafricaine,CAF,2007,YR2007,4198004
République centrafricaine,CAF,2008,YR2008,4273368
République centrafricaine,CAF,2009,YR2009,4337623
République centrafricaine,CAF,2010,YR2010,4386765
République centrafricaine,CAF,2011,YR2011,4418639
Tchad,TCD,2004,YR2004,9734761
Tchad,TCD,2006,YR2006,10457122
Tchad,TCD,2007,YR2007,10818031
Tchad,TCD,2008,YR2008,11183589
Tchad,TCD,2009,YR2009,11560142
Tchad,TCD,2010,YR2010,11952134
Tchad,TCD,2011,YR2011,12360986
Îles Anglo-Normandes,CHI,2004,YR2004,150722
Îles Anglo-Normandes,CHI,2006,YR2006,152999
Îles Anglo-Normandes,CHI,2007,YR2007,154644
Îles Anglo-Normandes,CHI,2008,YR2008,156441
Îles Anglo-Normandes,CHI,2009,YR2009,158187
Îles Anglo-Normandes,CHI,2010,YR2010,159718
Îles Anglo-Normandes,CHI,2011,YR2011,160990
Chili,CHL,2004,YR2004,16014972
Chili,CHL,2006,YR2006,16354507
Chili,CHL,2007,YR2007,16530201
Chili,CHL,2008,YR2008,16708255
Chili,CHL,2009,YR2009,16886184
Chili,CHL,2010,YR2010,17062531
Chili,CHL,2011,YR2011,17233584
Chine,CHN,2004,YR2004,1296075000
Chine,CHN,2006,YR2006,1311020000
Chine,CHN,2007,YR2007,1317885000
Chine,CHN,2008,YR2008,1324655000
Chine,CHN,2009,YR2009,1331260000
Chine,CHN,2010,YR2010,1337705000
Chine,CHN,2011,YR2011,1345035000
Colombie,COL,2004,YR2004,42075953
Colombie,COL,2006,YR2006,43200901
Colombie,COL,2007,YR2007,43737512
Colombie,COL,2008,YR2008,44254972
Colombie,COL,2009,YR2009,44750054
Colombie,COL,2010,YR2010,45222699
Colombie,COL,2011,YR2011,45662747
Comores,COM,2004,YR2004,597230
Comores,COM,2006,YR2006,626427
Comores,COM,2007,YR2007,641624
Comores,COM,2008,YR2008,657227
Comores,COM,2009,YR2009,673251
Comores,COM,2010,YR2010,689696
Comores,COM,2011,YR2011,706578
"Congo, République démocratique du",COD,2004,YR2004,53068869
"Congo, République démocratique du",COD,2006,YR2006,56578046
"Congo, République démocratique du",COD,2007,YR2007,58453687
"Congo, République démocratique du",COD,2008,YR2008,60411195
"Congo, République démocratique du",COD,2009,YR2009,62448572
"Congo, République démocratique du",COD,2010,YR2010,64563853
"Congo, République démocratique du",COD,2011,YR2011,66755151
"Congo, République du",COG,2004,YR2004,3510468
"Congo, République du",COG,2006,YR2006,3745143
"Congo, République du",COG,2007,YR2007,3876123
"Congo, République du",COG,2008,YR2008,4011487
"Congo, République du",COG,2009,YR2009,4145400
"Congo, République du",COG,2010,YR2010,4273738
"Congo, République du",COG,2011,YR2011,4394842
Costa Rica,CRI,2004,YR2004,4225156
Costa Rica,CRI,2006,YR2006,4345421
Costa Rica,CRI,2007,YR2007,4404626
Costa Rica,CRI,2008,YR2008,4463123
Costa Rica,CRI,2009,YR2009,4520739
Costa Rica,CRI,2010,YR2010,4577371
Costa Rica,CRI,2011,YR2011,4633086
Côte d'Ivoire,CIV,2004,YR2004,17970493
Côte d'Ivoire,CIV,2006,YR2006,18754914
Côte d'Ivoire,CIV,2007,YR2007,19171250
Côte d'Ivoire,CIV,2008,YR2008,19605568
Côte d'Ivoire,CIV,2009,YR2009,20059147
Côte d'Ivoire,CIV,2010,YR2010,20532944
Côte d'Ivoire,CIV,2011,YR2011,21028652
Croatie,HRV,2004,YR2004,4304600
Croatie,HRV,2006,YR2006,4311159
Croatie,HRV,2007,YR2007,4310217
Croatie,HRV,2008,YR2008,4309705
Croatie,HRV,2009,YR2009,4305181
Croatie,HRV,2010,YR2010,4295427
Croatie,HRV,2011,YR2011,4280622
Cuba,CUB,2004,YR2004,11250369
Cuba,CUB,2006,YR2006,11261241
Cuba,CUB,2007,YR2007,11251117
Cuba,CUB,2008,YR2008,11236975
Cuba,CUB,2009,YR2009,11226711
Cuba,CUB,2010,YR2010,11225833
Cuba,CUB,2011,YR2011,11236671
Curacao,CUW,2004,YR2004,134192
Curacao,CUW,2006,YR2006,141239
Curacao,CUW,2007,YR2007,144056
Curacao,CUW,2008,YR2008,145880
Curacao,CUW,2009,YR2009,146833
Curacao,CUW,2010,YR2010,148703
Curacao,CUW,2011,YR2011,150831
Chypre,CYP,2004,YR2004,1010410
Chypre,CYP,2006,YR2006,1045508
Chypre,CYP,2007,YR2007,1063708
Chypre,CYP,2008,YR2008,1081568
Chypre,CYP,2009,YR2009,1098089
Chypre,CYP,2010,YR2010,1112617
Chypre,CYP,2011,YR2011,1124837
République tchèque,CZE,2004,YR2004,10197101
République tchèque,CZE,2006,YR2006,10238905
République tchèque,CZE,2007,YR2007,10298828
République tchèque,CZE,2008,YR2008,10384603
République tchèque,CZE,2009,YR2009,10443936
République tchèque,CZE,2010,YR2010,10474410
République tchèque,CZE,2011,YR2011,10496088
Danemark,DNK,2004,YR2004,5404523
Danemark,DNK,2006,YR2006,5437272
Danemark,DNK,2007,YR2007,5461438
Danemark,DNK,2008,YR2008,5493621
Danemark,DNK,2009,YR2009,5523095
Danemark,DNK,2010,YR2010,5547683
Danemark,DNK,2011,YR2011,5570572
Djibouti,DJI,2004,YR2004,771599
Djibouti,DJI,2006,YR2006,794554
Djibouti,DJI,2007,YR2007,805456
Djibouti,DJI,2008,YR2008,816361
Djibouti,DJI,2009,YR2009,827820
Djibouti,DJI,2010,YR2010,840194
Djibouti,DJI,2011,YR2011,853671
Dominique,DMA,2004,YR2004,70387
Dominique,DMA,2006,YR2006,70718
Dominique,DMA,2007,YR2007,70797
Dominique,DMA,2008,YR2008,70829
Dominique,DMA,2009,YR2009,70848
Dominique,DMA,2010,YR2010,70877
Dominique,DMA,2011,YR2011,70912
République dominicaine,DOM,2004,YR2004,8974444
République dominicaine,DOM,2006,YR2006,9218681
